"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"311","ENSG00000162946","hurdle",0,-0.03464532,1.75614852,1.79079384,0.793
"278","ENSG00000151702","hurdle",0,-2.092765,0.6794792,2.7722442,0.792
"266","ENSG00000146090","hurdle",0,-0.943028,1.450013,2.393041,0.792
"193","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"346","ENSG00000169313","hurdle",0,-1.648724,1.342542,2.991266,0.791
"46","ENSG00000079215","hurdle",0,0.6947443,2.2196414,1.5248971,0.789
"252","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"408","ENSG00000184384","hurdle",0,0.8391991,2.3492599,1.5100608,0.778
"485","ENSG00000273749","hurdle",0,0.0830425,1.8751489,1.7921064,0.776
"358","ENSG00000171310","hurdle",0,0.8101045,2.2194479,1.4093434,0.773
"190","ENSG00000128815","hurdle",0,-2.8986676,0.3232611,3.2219287,0.773
"251","ENSG00000140548","hurdle",0,-1.213144,1.031244,2.244388,0.772
"288","ENSG00000155307","hurdle",0,-2.8655079,0.6337499,3.4992578,0.77
"483","ENSG00000273409","hurdle",0,-3.1076981,0.7384607,3.8461588,0.769
"413","ENSG00000185650","hurdle",0,-1.666901,0.923246,2.590147,0.768
"274","ENSG00000148908","hurdle",0,-3.1407247,0.1882115,3.3289362,0.767
"242","ENSG00000138185","hurdle",0,-2.0224697,0.6470462,2.6695159,0.761
"259","ENSG00000142347","hurdle",0,-2.5525642,0.3029524,2.8555166,0.758
"265","ENSG00000145685","hurdle",0,-0.710855,1.378685,2.08954,0.757
"224","ENSG00000136205","hurdle",0,-1.4209171,0.6957045,2.1166216,0.757
"34","ENSG00000067066","hurdle",0,-2.4868016,0.2493781,2.7361797,0.757
"31","ENSG00000065413","hurdle",0,0.4262704,1.9519214,1.525651,0.752
"392","ENSG00000178573","hurdle",0,-1.5244145,0.5432748,2.0676893,0.751
"313","ENSG00000163219","hurdle",0,-1.9821086,0.6822897,2.6643983,0.75
"12","ENSG00000019582","hurdle",0,-2.8747392,0.2956294,3.1703686,0.749
"134","ENSG00000112799","hurdle",0,-2.3069599,0.3901101,2.69707,0.748
"421","ENSG00000196782","hurdle",8.37052175559891e-296,0.8000176,2.0208226,1.220805,0.746
"53","ENSG00000087253","hurdle",0,-1.793035,0.614456,2.407491,0.745
"314","ENSG00000163513","hurdle",0,-2.4475307,0.4119479,2.8594786,0.744
"289","ENSG00000155629","hurdle",0,-3.0180308,0.1001603,3.1181911,0.744
"399","ENSG00000181804","hurdle",4.01782673805238e-279,0.6609717,1.9916631,1.3306914,0.743
"386","ENSG00000175899","hurdle",0,-1.339514,0.607967,1.947481,0.743
"419","ENSG00000196369","hurdle",0,-0.2593901,1.3580926,1.6174827,0.741
"155","ENSG00000119535","hurdle",0,-3.2274975,-0.1260061,3.1014914,0.739
"463","ENSG00000236963","hurdle",0,-2.4725698,0.1810757,2.6536455,0.738
"187","ENSG00000128512","hurdle",5.77114128020104e-237,3.261324,4.304207,1.042883,0.736
"469","ENSG00000245532","hurdle",2.06481240660499e-240,1.948424,2.669981,0.721557,0.734
"283","ENSG00000153208","hurdle",0,-1.165163,0.934134,2.099297,0.733
"171","ENSG00000123338","hurdle",0,-3.056686,-0.149802,2.906884,0.731
"76","ENSG00000101096","hurdle",0,-2.4766636,0.1554143,2.6320779,0.731
"195","ENSG00000130066","hurdle",2.53906677200778e-284,0.07878977,1.67888832,1.60009855,0.73
"15","ENSG00000026297","hurdle",2.94477531705657e-312,-0.8366497,0.8360831,1.6727328,0.729
"137","ENSG00000114013","hurdle",0,-3.208893,0.169905,3.378798,0.726
"418","ENSG00000196218","hurdle",0,-1.1333083,0.6372304,1.7705387,0.725
"304","ENSG00000161791","hurdle",4.49082149305647e-294,-0.6803527,0.9579877,1.6383404,0.725
"280","ENSG00000152518","hurdle",0,-2.2809033,0.3225407,2.603444,0.725
"81","ENSG00000101463","hurdle",4.78492791377404e-230,1.597417,2.844099,1.246682,0.725
"173","ENSG00000124126","hurdle",4.88539260259777e-260,-0.1789017,1.2152042,1.3941059,0.723
"253","ENSG00000140836","hurdle",3.80088597604791e-226,1.131398,1.721865,0.590467,0.722
"316","ENSG00000163565","hurdle",0,-2.5034108,-0.0153099,2.4881009,0.72
"198","ENSG00000131724","hurdle",0,-2.8678102,-0.1408325,2.7269777,0.72
"9","ENSG00000012779","hurdle",0,-2.8994525,-0.1668982,2.7325543,0.716
"376","ENSG00000173391","hurdle",0,-2.9605919,0.3859785,3.3465704,0.715
"355","ENSG00000170776","hurdle",2.05734718681989e-224,0.5372479,1.4938662,0.9566183,0.713
"27","ENSG00000053918","hurdle",0,-2.51509184,-0.05220712,2.46288472,0.713
"246","ENSG00000138756","hurdle",4.1693472945456e-215,0.3531963,1.5831892,1.2299929,0.711
"268","ENSG00000146192","hurdle",0,-3.2398693,-0.3743455,2.8655238,0.709
"118","ENSG00000109794","hurdle",0,-1.562211,0.492938,2.055149,0.709
"26","ENSG00000053254","hurdle",2.10177277988303e-193,1.862515,2.822224,0.959709,0.709
"72","ENSG00000100599","hurdle",5.40996447474061e-318,-1.536878,0.3693326,1.9062106,0.708
"341","ENSG00000168461","hurdle",3.88838148935062e-253,-0.7621738,0.8044427,1.5666165,0.707
"59","ENSG00000090376","hurdle",0,-2.424189,-0.123059,2.30113,0.7
"262","ENSG00000143119","hurdle",0,-2.5697964,-0.3272319,2.2425645,0.698
"248","ENSG00000139132","hurdle",5.24088265913415e-180,0.3886899,1.503433,1.1147431,0.695
"406","ENSG00000184005","hurdle",3.57009408013042e-167,1.681892,2.743139,1.061247,0.692
"323","ENSG00000165168","hurdle",0,-2.8996488,-0.1338945,2.7657543,0.692
"18","ENSG00000028137","hurdle",0,-3.0176047,-0.1132787,2.904326,0.691
"433","ENSG00000198286","hurdle",0,-2.7840749,-0.3603962,2.4236787,0.69
"407","ENSG00000184060","hurdle",0,-2.433253,-0.159834,2.273419,0.69
"373","ENSG00000173193","hurdle",0,-2.214571,-0.21734,1.997231,0.69
"261","ENSG00000142583","hurdle",0,-3.1036224,-0.4461898,2.6574326,0.69
"79","ENSG00000101336","hurdle",0,-3.0510064,-0.4461898,2.6048166,0.688
"50","ENSG00000082781","hurdle",1.61630270737793e-316,-1.9323665,0.1317577,2.0641242,0.688
"354","ENSG00000170677","hurdle",9.27805089571371e-296,-0.9929362,0.7395405,1.7324767,0.686
"240","ENSG00000138119","hurdle",0,-2.5343157,-0.4062334,2.1280823,0.686
"258","ENSG00000141968","hurdle",0,-3.0632669,-0.4734557,2.5898112,0.682
"176","ENSG00000124782","hurdle",1.33824379863318e-278,-1.74674888,0.02066716,1.76741604,0.682
"351","ENSG00000169896","hurdle",0,-3.2218419,-0.5893396,2.6325023,0.681
"264","ENSG00000145569","hurdle",1.24601095693129e-273,-1.9169873,-0.1658869,1.7511004,0.68
"138","ENSG00000114450","hurdle",1.27345424322892e-194,-0.8108563,0.3290115,1.1398678,0.679
"189","ENSG00000128805","hurdle",1.1867285613014e-149,0.5553863,1.5481824,0.9927961,0.678
"472","ENSG00000253988","hurdle",0,-3.1802363,-0.5598164,2.6204199,0.677
"359","ENSG00000171316","hurdle",5.48367760811654e-188,-0.5124553,0.52523,1.0376853,0.677
"126","ENSG00000110934","hurdle",0,-3.1688364,-0.5988614,2.569975,0.677
"477","ENSG00000260314","hurdle",0,-3.0883285,-0.1191389,2.9691896,0.675
"457","ENSG00000227082","hurdle",2.24998819433506e-160,-0.1683102,0.9986928,1.167003,0.675
"435","ENSG00000198771","hurdle",6.63681490898477e-282,-1.7403189,-0.1201179,1.620201,0.674
"277","ENSG00000150782","hurdle",0,-2.467178,-0.4327477,2.0344303,0.672
"219","ENSG00000135838","hurdle",4.76776751445958e-205,-1.1835066,0.3804512,1.5639578,0.672
"116","ENSG00000107738","hurdle",0,-2.8481674,-0.5558369,2.2923305,0.672
"110","ENSG00000106799","hurdle",2.8238647883043e-204,-1.2532759,0.3029524,1.5562283,0.672
"368","ENSG00000171943","hurdle",3.51882791006654e-152,-0.176908,0.9449404,1.1218484,0.67
"146","ENSG00000116711","hurdle",9.17804643368884e-268,-1.5996677,0.1060331,1.7057008,0.67
"17","ENSG00000027697","hurdle",2.9051628395137e-201,-1.0697014,0.3225407,1.3922421,0.67
"308","ENSG00000162511","hurdle",0,-3.1379434,-0.7422317,2.3957117,0.669
"158","ENSG00000120690","hurdle",2.24660405264732e-188,-1.28388492,0.03832474,1.32220966,0.668
"327","ENSG00000166033","hurdle",1.35502183882709e-170,-0.9375766,0.3665396,1.3041162,0.666
"393","ENSG00000180353","hurdle",0,-3.0214442,-0.7482738,2.2731704,0.665
"41","ENSG00000074706","hurdle",5.03781905935423e-130,1.461784,2.342702,0.880918,0.664
"24","ENSG00000047648","hurdle",3.63334598651488e-212,-0.9959233,0.2956294,1.2915527,0.664
"60","ENSG00000091592","hurdle",3.86359335047855e-321,-2.4878341,-0.4659683,2.0218658,0.662
"302","ENSG00000160712","hurdle",6.77295763540789e-231,-2.0062107,-0.3580843,1.6481264,0.661
"201","ENSG00000132669","hurdle",4.87150282718296e-158,-0.09584837,0.73142207,0.82727044,0.661
"178","ENSG00000125089","hurdle",0,-3.2344126,-0.8022501,2.4321625,0.66
"168","ENSG00000123095","hurdle",2.19150240552175e-164,-0.9217932,0.3153168,1.23711,0.66
"388","ENSG00000176597","hurdle",2.58441309955075e-188,-1.4014688,0.1456724,1.5471412,0.659
"380","ENSG00000173926","hurdle",8.52968781040798e-195,-1.3178435,0.2711965,1.58904,0.659
"286","ENSG00000154330","hurdle",0,-2.6036114,-0.5218002,2.0818112,0.658
"165","ENSG00000122862","hurdle",0,-2.6824704,0.3138676,2.996338,0.658
"32","ENSG00000066294","hurdle",0,-3.2475935,-0.8747545,2.372839,0.658
"20","ENSG00000033867","hurdle",3.38130543287341e-120,0.3130436,1.2011636,0.88812,0.658
"306","ENSG00000162367","hurdle",0,-2.973137,-0.7711597,2.2019773,0.653
"270","ENSG00000147251","hurdle",1.10139529687231e-187,-1.07795166,-0.02995574,1.04799592,0.653
"263","ENSG00000145390","hurdle",6.09293252822597e-139,-0.2350998,0.9755081,1.2106079,0.653
"131","ENSG00000111846","hurdle",3.87938088188566e-309,-2.5502512,-0.4437364,2.1065148,0.653
"279","ENSG00000152315","hurdle",2.36156981935011e-312,-2.1511558,-0.3340312,1.8171246,0.652
"67","ENSG00000100055","hurdle",0,-3.0547173,-0.8518047,2.2029126,0.652
"332","ENSG00000167601","hurdle",1.51564137969327e-279,-2.5624747,-0.6773872,1.8850875,0.648
"255","ENSG00000140968","hurdle",0,-3.2331754,-0.7287289,2.5044465,0.648
"128","ENSG00000111252","hurdle",2.98655317883551e-146,-1.27125848,-0.00985581,1.26140267,0.647
"51","ENSG00000086062","hurdle",2.43752184699273e-231,-2.2139611,-0.4110181,1.802943,0.647
"6","ENSG00000011028","hurdle",1.44333877963637e-245,-2.3585039,-0.5879844,1.7705195,0.647
"462","ENSG00000235162","hurdle",6.26013428910693e-287,-2.5548809,-0.5825765,1.9723044,0.646
"300","ENSG00000160219","hurdle",0,-3.0756324,-0.8797202,2.1959122,0.644
"370","ENSG00000172340","hurdle",1.17893575632296e-139,-1.3800865,-0.1821531,1.1979334,0.64
"85","ENSG00000102445","hurdle",2.34118634802085e-182,-1.9430483,-0.3673539,1.5756944,0.64
"369","ENSG00000172243","hurdle",0,-3.2722874,-0.9828014,2.289486,0.638
"423","ENSG00000196935","hurdle",4.00748253863438e-100,-0.03173832,0.77367484,0.80541316,0.637
"177","ENSG00000124813","hurdle",6.09979148976001e-117,-0.409608,0.3058712,0.7154792,0.635
"149","ENSG00000117115","hurdle",2.48130275619469e-253,-1.6266249,0.6273473,2.2539722,0.635
"133","ENSG00000112343","hurdle",0,-3.117253,-1.080418,2.036835,0.635
"362","ENSG00000171659","hurdle",0,-3.0178177,-0.9721555,2.0456622,0.633
"381","ENSG00000174125","hurdle",0,-3.061948,-1.042801,2.019147,0.632
"122","ENSG00000110324","hurdle",0,-3.109286,-1.044659,2.064627,0.632
"476","ENSG00000259124","hurdle",2.57705377977992e-225,-1.5087603,0.6050077,2.113768,0.631
"161","ENSG00000121281","hurdle",1.14316032476676e-168,-2.0224697,-0.7257453,1.2967244,0.631
"5","ENSG00000010610","hurdle",0,-3.025508,-1.042801,1.982707,0.631
"401","ENSG00000182185","hurdle",6.0289288412857e-85,0.1334086,0.9616939,0.8282853,0.629
"353","ENSG00000170542","hurdle",2.32002848912139e-118,-1.19598736,0.07043224,1.2664196,0.628
"153","ENSG00000118785","hurdle",2.77625221549872e-233,-1.6173947,0.8630866,2.4804813,0.628
"409","ENSG00000184574","hurdle",0,-3.245097,-1.170849,2.074248,0.627
"107","ENSG00000106066","hurdle",6.73993702409195e-207,-2.3602586,-0.4872843,1.8729743,0.626
"102","ENSG00000105483","hurdle",3.76565417911856e-171,-2.224249,-0.7726984,1.4515506,0.626
"199","ENSG00000132274","hurdle",1.520403233315e-207,-2.346012,-0.884703,1.461309,0.625
"293","ENSG00000158195","hurdle",6.33296204471866e-84,-0.5151595,0.3254202,0.8405797,0.624
"269","ENSG00000147065","hurdle",2.36775054319192e-182,-2.35527,-0.813292,1.541978,0.623
"205","ENSG00000133246","hurdle",2.55203878593057e-314,-2.967365,-1.029864,1.937501,0.623
"191","ENSG00000129534","hurdle",3.58825307952795e-97,-0.8453195,-0.0354865,0.809833,0.623
"383","ENSG00000174600","hurdle",0,-3.153307,-1.017041,2.136266,0.622
"73","ENSG00000100647","hurdle",4.18167258799925e-78,-0.2442309,0.4092361,0.653467,0.622
"52","ENSG00000086730","hurdle",3.83525054193337e-231,-2.693148,-0.979244,1.713904,0.622
"36","ENSG00000071073","hurdle",2.75977749528331e-68,0.6161806,1.1929098,0.5767292,0.622
"19","ENSG00000031081","hurdle",1.05459979158492e-147,-1.4770736,-0.4449626,1.032111,0.621
"330","ENSG00000166927","hurdle",0,-3.269748,-1.262998,2.00675,0.62
"142","ENSG00000115935","hurdle",2.05413507481684e-102,-1.1439647,-0.1279742,1.0159905,0.62
"415","ENSG00000186818","hurdle",0,-3.285821,-1.349907,1.935914,0.617
"481","ENSG00000271605","hurdle",0,-3.248593,-1.347612,1.900981,0.616
"271","ENSG00000148429","hurdle",1.31265430439424e-71,-0.2744557,0.5082243,0.78268,0.616
"207","ENSG00000133789","hurdle",1.23193351953391e-87,-0.96992866,-0.07575646,0.8941722,0.616
"143","ENSG00000115956","hurdle",0,-3.156822,-1.201607,1.955215,0.616
"298","ENSG00000159399","hurdle",0,-3.137712,-1.162756,1.974956,0.615
"23","ENSG00000043462","hurdle",1.2966602008835e-208,-2.6850056,-0.9598337,1.7251719,0.615
"417","ENSG00000196126","hurdle",3.16735696668107e-266,-2.95039,-1.121,1.82939,0.614
"379","ENSG00000173821","hurdle",2.12610757485194e-63,-0.1108817,0.4910158,0.6018975,0.614
"163","ENSG00000121933","hurdle",0,-3.173813,-1.29139,1.882423,0.614
"453","ENSG00000215244","hurdle",7.20065621327925e-146,-2.097598,-0.752822,1.344776,0.613
"86","ENSG00000102699","hurdle",2.03596619726558e-134,-2.1864012,-0.8780631,1.3083381,0.613
"70","ENSG00000100311","hurdle",1.73922272589863e-154,-2.1245297,-0.5012468,1.6232829,0.613
"65","ENSG00000096060","hurdle",4.39826124733362e-87,-0.85894735,0.04445419,0.90340154,0.613
"43","ENSG00000077238","hurdle",9.52050696646131e-235,-2.839292,-1.187172,1.65212,0.613
"491","ENSG00000286403","hurdle",0,-3.303891,-1.356814,1.947077,0.612
"105","ENSG00000105939","hurdle",4.63631123079448e-162,-2.3532524,-0.6516777,1.7015747,0.611
"16","ENSG00000027075","hurdle",4.92755495432391e-122,-1.2844615,-0.3182158,0.9662457,0.611
"391","ENSG00000177663","hurdle",7.16541922779806e-121,-1.9299589,-0.6389927,1.2909662,0.61
"312","ENSG00000163106","hurdle",0,-3.201131,-1.199536,2.001595,0.61
"247","ENSG00000138964","hurdle",1.28765029272864e-294,-3.083638,-1.284788,1.79885,0.61
"167","ENSG00000123094","hurdle",4.46401203051526e-75,-0.4033671,0.6020424,1.0054095,0.61
"440","ENSG00000204287","hurdle",0,-3.1686,-1.224587,1.944013,0.608
"115","ENSG00000107736","hurdle",4.71536348429075e-173,-2.5683915,-0.9703888,1.5980027,0.608
"320","ENSG00000164674","hurdle",7.61492672170428e-173,-2.59946,-0.958082,1.641378,0.607
"398","ENSG00000181631","hurdle",1.48001487896074e-313,-3.159875,-1.345321,1.814554,0.606
"337","ENSG00000167895","hurdle",3.18446790688404e-302,-3.149334,-1.394222,1.755112,0.606
"237","ENSG00000137841","hurdle",4.34522395573494e-182,-2.756972,-1.260837,1.496135,0.606
"221","ENSG00000135899","hurdle",7.42375131450862e-152,-2.485917,-1.009765,1.476152,0.606
"204","ENSG00000133106","hurdle",3.22243531332695e-182,-2.4950823,-0.8747545,1.6203278,0.606
"291","ENSG00000155926","hurdle",2.04530323307367e-229,-2.948561,-1.282595,1.665966,0.604
"200","ENSG00000132530","hurdle",2.99574684160988e-162,-2.303969,-1.065253,1.238716,0.604
"361","ENSG00000171608","hurdle",1.45462782666278e-93,-1.8208303,-0.7482738,1.0725565,0.603
"349","ENSG00000169756","hurdle",1.91950699841552e-55,-0.02910555,0.66818207,0.69728762,0.603
"218","ENSG00000135540","hurdle",4.20949566623986e-90,-0.7416642,0.08409827,0.82576247,0.603
"213","ENSG00000134352","hurdle",1.98767635346135e-49,0.1564139,0.6995938,0.5431799,0.603
"480","ENSG00000266714","hurdle",2.69205925285439e-102,-2.060367,-0.933779,1.126588,0.602
"347","ENSG00000169403","hurdle",4.15502092488977e-222,-2.948967,-1.280404,1.668563,0.601
"3","ENSG00000003402","hurdle",1.14593257259437e-63,-1.0080929,-0.2131555,0.7949374,0.601
"307","ENSG00000162496","hurdle",7.36067641506664e-131,-2.425177,-1.128861,1.296316,0.6
"140","ENSG00000115183","hurdle",1.22647034278855e-62,-0.3441347,0.2697023,0.613837,0.6
"136","ENSG00000113532","hurdle",4.16903607772799e-82,-0.8474004,-0.2363217,0.6110787,0.6
"87","ENSG00000103187","hurdle",4.70316787534778e-83,-1.5714059,-0.5166344,1.0547715,0.6
"425","ENSG00000197329","hurdle",1.77654426785026e-57,-0.61101682,0.07898867,0.69000549,0.599
"97","ENSG00000104972","hurdle",0,-3.301815,-1.522965,1.77885,0.598
"25","ENSG00000051523","hurdle",8.36590550327467e-227,-3.047305,-1.499844,1.547461,0.598
"471","ENSG00000251442","hurdle",8.04259350042885e-209,-2.787703,-1.220381,1.567322,0.597
"100","ENSG00000105329","hurdle",5.54757118701819e-98,-2.0249298,-0.8599592,1.1649706,0.597
"33","ENSG00000066336","hurdle",3.23326631449206e-128,-2.523537,-1.282595,1.240942,0.597
"80","ENSG00000101347","hurdle",2.6669731339609e-65,-1.3934305,-0.5439639,0.8494666,0.596
"309","ENSG00000162711","hurdle",6.61842511516153e-170,-2.85272,-1.396593,1.456127,0.595
"68","ENSG00000100280","hurdle",9.85994965610985e-49,-0.3973955,0.1358642,0.5332597,0.595
"37","ENSG00000071246","hurdle",7.32116626171352e-62,-1.1756418,-0.3397219,0.8359199,0.595
"301","ENSG00000160255","hurdle",9.91185533727405e-254,-3.147235,-1.573027,1.574208,0.594
"63","ENSG00000095303","hurdle",1.65833785601003e-287,-3.200164,-1.510075,1.690089,0.594
"150","ENSG00000117676","hurdle",5.22669553840311e-127,-2.618073,-1.343033,1.27504,0.592
"94","ENSG00000104870","hurdle",3.81123987387802e-201,-3.017392,-1.50495,1.512442,0.592
"57","ENSG00000089820","hurdle",6.14970418886659e-151,-2.820403,-1.454686,1.365717,0.591
"8","ENSG00000011600","hurdle",4.37377383638262e-300,-3.234908,-1.602825,1.632083,0.591
"184","ENSG00000127084","hurdle",3.41064665504334e-200,-3.031088,-1.467089,1.563999,0.59
"127","ENSG00000111145","hurdle",5.49312562221045e-77,-1.8634581,-0.9098787,0.9535794,0.59
"335","ENSG00000167693","hurdle",1.48519727802612e-65,-1.2796,-0.5947729,0.6848271,0.589
"229","ENSG00000136869","hurdle",1.18694796244127e-124,-2.541649,-1.322604,1.219045,0.588
"152","ENSG00000118707","hurdle",1.8899292935983e-228,-3.137017,-1.591918,1.545099,0.588
"58","ENSG00000090104","hurdle",0,-3.288645,-1.166797,2.121848,0.587
"443","ENSG00000204592","hurdle",4.31218502274014e-127,-2.123269,-1.368401,0.754868,0.586
"357","ENSG00000171115","hurdle",7.77094160253547e-234,-3.137712,-1.502395,1.635317,0.586
"292","ENSG00000157303","hurdle",0,-3.290703,-1.687365,1.603338,0.586
"148","ENSG00000116815","hurdle",9.70486124216016e-108,-2.475932,-1.197468,1.278464,0.586
"38","ENSG00000072786","hurdle",5.19202654232383e-59,-1.4846358,-0.7109194,0.7737164,0.586
"395","ENSG00000180573","hurdle",1.62186466227998e-104,-2.1198346,-0.6236388,1.4961958,0.585
"377","ENSG00000173436","hurdle",1.55819211839232e-42,-0.1216593,0.5592633,0.6809226,0.585
"125","ENSG00000110876","hurdle",6.00990669634685e-266,-3.220125,-1.638852,1.581273,0.585
"119","ENSG00000109861","hurdle",2.8738411559802e-91,-2.320298,-1.140733,1.179565,0.584
"47","ENSG00000079263","hurdle",7.59119318030608e-84,-2.145908,-1.020693,1.125215,0.584
"468","ENSG00000242574","hurdle",6.6205358972808e-214,-3.119995,-1.602825,1.51717,0.583
"318","ENSG00000163932","hurdle",1.79614735422656e-93,-2.426874,-1.320352,1.106522,0.583
"216","ENSG00000135077","hurdle",1.33352097435852e-46,-1.0585364,-0.4412872,0.6172492,0.583
"28","ENSG00000057704","hurdle",2.27315157639631e-59,-1.208577,-0.6111969,0.5973801,0.583
"410","ENSG00000184988","hurdle",1.326425282227e-150,-2.916233,-1.562342,1.353891,0.582
"222","ENSG00000136161","hurdle",7.65534120903276e-58,-1.724412,-0.884703,0.839709,0.582
"444","ENSG00000205336","hurdle",3.03645813753051e-56,-1.6621481,-0.9031221,0.759026,0.581
"394","ENSG00000180448","hurdle",6.06220089364295e-189,-3.114744,-1.734565,1.380179,0.58
"83","ENSG00000101974","hurdle",8.05108081629237e-77,-1.799888,-0.9863676,0.8135204,0.58
"404","ENSG00000183549","hurdle",4.97894576194734e-260,-3.249343,-1.808392,1.440951,0.579
"315","ENSG00000163563","hurdle",3.95767098272967e-266,-3.253853,-1.780262,1.473591,0.579
"250","ENSG00000139832","hurdle",1.89057956823959e-213,-3.127101,-1.309144,1.817957,0.579
"194","ENSG00000129675","hurdle",1.23564596525078e-46,-1.1789136,-0.5745025,0.6044111,0.579
"13","ENSG00000023892","hurdle",4.03625922851413e-119,-2.797911,-1.546462,1.251449,0.579
"478","ENSG00000261371","hurdle",5.7400196595155e-78,-2.165245,-1.214096,0.951149,0.578
"454","ENSG00000223865","hurdle",2.84192902807557e-120,-2.766069,-1.462115,1.303954,0.578
"396","ENSG00000181381","hurdle",1.38414036379115e-80,-2.294647,-1.224587,1.07006,0.578
"460","ENSG00000228789","hurdle",3.65608577922522e-321,-3.300518,-1.75571,1.544808,0.577
"451","ENSG00000213366","hurdle",1.34938620146798e-112,-2.806718,-1.638852,1.167866,0.577
"343","ENSG00000168961","hurdle",4.06474909925465e-190,-3.139565,-1.75571,1.383855,0.577
"321","ENSG00000164733","hurdle",1.65963470725403e-30,0.3752056,0.9644673,0.5892617,0.577
"98","ENSG00000105122","hurdle",5.9551952123184e-293,-3.28659,-1.814718,1.471872,0.577
"4","ENSG00000010327","hurdle",1.36944365494854e-245,-3.237386,-1.72858,1.508806,0.577
"220","ENSG00000135842","hurdle",1.26600982595339e-155,-2.912861,-1.09767,1.815191,0.576
"334","ENSG00000167613","hurdle",3.02937752723558e-195,-3.157291,-1.78336,1.373931,0.575
"211","ENSG00000134207","hurdle",1.44879427124543e-77,-2.034489,-1.152704,0.881785,0.575
"66","ENSG00000099954","hurdle",3.28908027935981e-43,-0.9829194,-0.4709556,0.5119638,0.575
"367","ENSG00000171940","hurdle",3.05138626764889e-128,-2.934617,-1.672927,1.26169,0.574
"141","ENSG00000115318","hurdle",2.42434395837215e-91,-2.627795,-1.477089,1.150706,0.574
"132","ENSG00000112149","hurdle",4.10634746572535e-152,-1.7674657,-0.1329061,1.6345596,0.573
"78","ENSG00000101265","hurdle",1.28924697359674e-51,-1.8385959,-0.9953218,0.8432741,0.573
"284","ENSG00000154274","hurdle",7.2215869028149e-78,-2.340673,-1.315858,1.024815,0.572
"241","ENSG00000138135","hurdle",5.2776486623131e-200,-3.15964,-1.510075,1.649565,0.572
"238","ENSG00000137959","hurdle",1.17978989730181e-116,-2.676909,-1.331648,1.345261,0.572
"112","ENSG00000106991","hurdle",6.56009485088801e-105,-2.558285,-1.613815,0.94447,0.572
"111","ENSG00000106948","hurdle",4.31967536059415e-54,-2.043678,-1.216188,0.82749,0.572
"442","ENSG00000204482","hurdle",2.00896189631597e-242,-3.26443,-1.872938,1.391492,0.571
"432","ENSG00000198246","hurdle",5.85996327928131e-56,-2.087277,-1.212007,0.87527,0.571
"130","ENSG00000111348","hurdle",4.08624995102198e-141,-3.04774,-1.789578,1.258162,0.571
"1","ENSG00000002586","hurdle",2.32547470744847e-89,-2.641845,-1.489686,1.152159,0.571
"297","ENSG00000159388","hurdle",1.6465936583447e-49,-1.6735987,-0.9286241,0.7449746,0.569
"374","ENSG00000173369","hurdle",2.0675261009309e-211,-3.246594,-1.876242,1.370352,0.567
